epc,upc
3314186ADC14828000002712,885375935795
3314186ADC14828000002714,885375935801
3314186ADC1E8A4000002712,885375935832
33141877A80B64C000002711,886699636665
3314186ADC17E84000002713,885375935849
3314302DFC079E0000002718,885375935818
3314186ADC17E84000002711,886699636795
3314186ADC17EA4000002715,885375935825
3314186ADC17EA4000002712,886699636849
3314186ADC17EA4000002713,886699636948
3314186ADC14828000002713,886699636955
3314186ADC17EA4000002711,886699631530
3314186ADC17EA4000002714,886699631554
3314186ADC280AC000002714,886699631561
3314186ADC1E8A4000002713,886699631578
3314186ADC17E84000002712,886699631585
33141877A01B558000002714,95855324357
300833B2DDD9014000000000,4774126089
3314186ADC280AC000002712,604201072035
3314186ADC280AC000002715,604201072011
3314186ADC280AC000002711,604201071977
3314186ADC14828000002716,604201071960
3314186ADC280AC000002713,604201071984
331418779C2E8A0000002713,726651361290
3314186ADC1E8A4000002716,726652004806
33141877A80B64C000002713,726652774396
3314186ADC17E9C000002711,726652774365
33141877A01B558000002715,726652004837
E2806810000000395F976ABD,726651531815
33141877A01B558000002713,726651369616
E2806810000000395F976E77,726651369517
E2806810000000395F9772B3,726651531808
E2806810000000395F971399,726654187538
E2806810000000395F973FD7,726653782260
E2806810000000395F97FEBA,726651082362
331418779C2E8A0000002711,34502873619
331418779C2E8A0000002716,34502873701
33141877A01B558000002712,34502873688
33141877A01B558000002711,726654046163
331418779C2E8A0000002714,726653990047
33141877A80B64C000002712,726651361115
331418779C2E8A0000002715,726654437152
E2806810000000395F97F6A0,726651887547
E2806810000000395F976E8B,726653425495
331418779C2E8A0000002712,718268898825
3314186ADC17E88000002711,718268898818
3314186ADC14828000002711,718268898801
3314186ADC1E8A4000002711,400987036465
3314186ADC14828000002715,400986562248
33141877A80B64C000002714,678901234567
3314186ADC17E8C000002712,726654110185
3314186ADC17E88000002712,400986378580
3314186ADC1E8A4000002714,400986561975
E2806810000000395F976C5B,1245793497456
E2806810000000395F973FAF,400986868708
E2806810000000395F976AE3,7418529631231
E2806810000000395F980C26,400986370973
E2806810000000395F977189,5236987412566
E2806810000000395F9743DE,400986440454
E2806810000000395F9738B4,6321458796326
E2806810000000395F975BFE,400986496383
E2806810000000395F977175,5632147896540
E2806810000000395F980857,400986554601
E2806810000000395F973B08,7896541230784
E2806810000000395F976E4F,400986554663
E2806810000000395F981A55,4466598741231
E2806810000000395F972B66,400986554724
E2806810000000395F9809EC,1238721593238
E2806810000000395F9770C3,400986617894
E2806810000000395F973C39,5521478963215
E2806810000000395F986975,400986663532
E2806810000000395F97FF93,400986618396
E2806810000000395F98716C,8907654321326
E2806810000000395F9770AF,7896541589653
E2806810000000395F97579B,400986663570
E2806810000000395F974599,9876543210234
E2806810000000395F9756AB,400986664768
E2806810000000395F974F6D,1463214587412
E2806810000000395F973B1C,400986729412
E2806810000000395F975126,8541269874565
E2806810000000395F97599A,400986795752
E2806810000000395F975698,1230456789320
E2806810000000395F97645D,400986922301
E2806810000000395F975F31,9876543210975
E2806810000000395F976720,400986961546
E2806810000000395F9817AC,400986871173
E2806810000000395F980C17,3219876540320
E2806810000000395F9763CC,400986967630
E2806810000000395F9864F3,9638527412580
E2806810000000395F976D08,987654123456
E2806810000000395F973C25,400986967685
E2806810000000395F971FD0,3556987541236
E2806810000000395F975D8C,3569854125484
E2806810000000395F97FC15,3156985462153
E2806810000000395F986B69,400987082851
E2806810000000395F9808FD,400986968132
E2806810000000395F9759FE,3569875465422
E2806810000000395F97584D,400987149844
E2806810000000395F980A00,400986969177
E2806810000000395F975C92,1250346987124
E2806810000000395F980BC1,400987169026
E2806810000000395F9808EA,1356214789019
E2806810000000395F9717E3,400986561845
E2806810000000395F986300,9853647598260
E2806810000000395F9804CC,400986554649
E2806810000000395F975761,6655441239874
E2806810000000395F975EAA,400986554762
E2806810000000395F980F11,1245893214588
E2806810000000395F975588,400986618419
E2806810000000395F97583A,5698741236953
E2806810000000395F976D1C,400986663556
E2806810000000395F971F6D,6789054321432
E2806810000000395F976053,400986663594
E2806810000000395F976D2E,9876541230982
E2806810000000395F9755A8,400986665734
E2806810000000395F987DB8,1463214561245
E2806810000000395F9721CF,400986729436
E2806810000000395F985D5C,2254789641239
E2806810000000395F975F1D,400986795776
E2806810000000395F985CF2,6543210987029
E2806810000000395F9862ED,400986923384
E2806810000000395F987DCC,1234569870128
E2806810000000395F975C8E,400986967654
E2806810000000395F9759ED,8734567890188
E2806810000000395F9820D7,400986969191
E2806810000000395F9816EB,3156987541238
E2806810000000395F9862DA,400987029399
E2806810000000395F98195F,3569874512363
E2806810000000395F98028D,400987030968
E2806810000000395F985E40,3656985412542
E2806810000000395F973569,356985462136
E2806810000000395F9862C6,400987082875
E2806810000000395F98027A,456258963
E2806810000000395F986E77,400987086149
E2806810000000395F986747,400987149868
E2806810000000395F986F26,4561237890124
E2806810000000395F971040,400987169040
E2806810000000395F980736,854976321016
E2806810000000395F986DC3,400987034584
E2806810000000395F986190,47562927345
E2806810000000395F97355B,400987037431
E2806810000000395F986E4E,400986554809
E2806810000000395F972773,7665689765430
E2806810000000395F986AA0,400986562132
E2806810000000395F97FF63,9632589654735
E2806810000000395F974171,400986561982
E2806810000000395F976F1A,400987036496
E2806810000000395F977343,400986915990
E2806810000000395F987672,400987036502
E2806810000000395F97356C,400987036533
E2806810000000395F9736B2,400987036540
E2806810000000395F97357C,400987036519
E2806810000000395F986DB1,400987036526
E2806810000000395F97368E,400987036557
E2806810000000395F973412,400987036564
E2806810000000395F97290E,400987036571
E2806810000000395F971CBD,400987036595
E2806810000000395F980749,400987036588
E2806810000000395F98070B,400987036601
E2806810000000395F97367D,400987036618
E2806810000000395F972760,400987036625
E2806810000000395F97367C,400987036632
E2806810000000395F986E63,400987036649
E2806810000000395F9868FC,400987036656
E2806810000000395F986A8D,400987036663
E2806810000000395F973669,400987036670
E2806810000000395F9728FA,400987036687
E2806810000000395F976BB2,4578487598748
E2806810000000395F987686,400987036694
E2806810000000395F974184,400986554700
E2806810000000395F987416,7584758968780
E2806810000000395F9729F8,400986554748
E2806810000000395F986D9D,400986556025
E2806810000000395F975C61,1547895874693
E2806810000000395F976F2D,400986561821
E2806810000000395F9801FA,7848758798786
E2806810000000395F973327,400986795790
E2806810000000395F97FF77,7898754856980
E2806810000000395F976C21,400987029412
E2806810000000395F97274E,7845789689755
E2806810000000395F971067,400987239538
E2806810000000395F987130,28225407459
E2806810000000395F986E4F,400908460416
E2806810000000395F986D8A,337877122
E2806810000000395F986E14,400528550160
E2806810000000395F973583,337877115
E2806810000000395F976964,337780767
E2806810000000395F976C49,400827133521
E2806810000000395F9728E7,400893949521
E2806810000000395F973A94,337780781
E2806810000000395F97F68D,400893950268
E2806810000000395F971FE1,337780774
E2806810000000395F97709B,400893961080
E2806810000000395F972521,337781863
E2806810000000395F9769D7,400895326382
E2806810000000395F973C11,337792364
E2806810000000395F97330F,400902058893
E2806810000000395F986B90,337792371
E2806810000000395F973321,400902059418
E2806810000000395F980068,337815520
E2806810000000395F972F17,400918887838
E2806810000000395F9767C9,337815605
E2806810000000395F986DAD,400918892191
E2806810000000395F972A40,337822689
E2806810000000395F972A48,400926085608
E2806810000000395F986B66,400926085684
E2806810000000395F97730A,337822696
E2806810000000395F973460,337822702
E2806810000000395F973311,400926085769
E2806810000000395F97344E,337825239
E2806810000000395F98699E,400930259132
E2806810000000395F9736D9,337825246
E2806810000000395F975EDB,400930259545
E2806810000000395F986539,337825819
E2806810000000395F9747E6,400930260510
E2806810000000395F9816FE,337839311
E2806810000000395F9860A9,400948362909
E2806810000000395F975A12,337857292
E2806810000000395F972EC7,400991725911
E2806810000000395F9820FC,337857322
E2806810000000395F975775,400991727342
E2806810000000395F9860A0,337857285
E2806810000000395F981723,400991728196
E2806810000000395F974D45,337857308
E2806810000000395F975908,400991729599
E2806810000000395F98639D,400991729988
E2806810000000395F9758A9,337857346
E2806810000000395F974F07,400991731523
E2806810000000395F975147,337865099
E2806810000000395F975134,337866683
E2806810000000395F9863B4,400991733091
E2806810000000395F981711,337865082
E2806810000000395F9860B4,400991733572
E2806810000000395F974D31,400991735040
E2806810000000395F9758F4,337865228
E2806810000000395F975060,337866690
E2806810000000395F981A5F,400991737006
E2806810000000395F981C3A,337864337
E2806810000000395F982110,400991739659
E2806810000000395F9750FB,337857445
E2806810000000395F981F82,400991740464
E2806810000000395F985D6D,337864344
E2806810000000395F97591B,400991741324
E2806810000000395F975F0A,337857209
E2806810000000395F975A26,337857261
E2806810000000395F9864DF,400991737990
E2806810000000395F974AB9,400991742741
